county_FIPS,county_name,year, pop_co , pctlt5_co , pct5to17_co , pct18to64_co , pct65pls_co , pctwhite_co , pctblack_co , pctamerind_co , pctapi_co , pctotherrace_co , pctmin_co , raceherfindahl_co , pcthisp_co , pctwithkids_co , pctsinparhhld_co , pctnokids_co , pctmarried_co , pctnevermarr_co , pctseparated_co , pctdivorced_co , pctlesshs_co , pcthsgrad_co , pctsomecoll_co , pctbachelors_co , pctgraddeg_co , lforcepartrate_co , unemprate_co , incherfindahl_co , medfamy_co , pctrent_co , pctown_co , childpov_co , poverty_co ,,,,,,,
39001,Adams ,2000," 27,330 ", 0.0633 , 0.1995 , 0.6035 , 0.1336 , 0.9762 , 0.0008 , 0.0078 , 0.0003 , 0.0150 , 0.0238 , 0.9532 , 0.0038 , 0.3410 , 0.0938 , 0.6590 , 0.5954 , 0.2012 , 0.0140 , 0.1091 , 0.3136 , 0.4444 , 0.1697 , 0.0442 , 0.0281 , 0.5820 , 0.0450 , 0.1438 ," 44,086.78 ", 0.3745 , 0.6255 , 0.2030 , 0.1740 ,,,,,,,
39001,Adams ,2001," 27,420 ", 0.0639 , 0.2007 , 0.6009 , 0.1347 , 0.9765 , 0.0009 , 0.0073 , 0.0003 , 0.0152 , 0.0235 , 0.9538 , 0.0042 , 0.3498 , 0.0965 , 0.6502 , 0.5905 , 0.2041 , 0.0146 , 0.1110 , 0.3074 , 0.4473 , 0.1687 , 0.0466 , 0.0298 , 0.5786 , 0.0520 , 0.1278 ," 43,854.52 ", 0.3618 , 0.6382 , 0.2107 , 0.1788 ,,,,,,,
39001,Adams ,2002," 27,510 ", 0.0645 , 0.2018 , 0.5982 , 0.1359 , 0.9768 , 0.0010 , 0.0068 , 0.0002 , 0.0154 , 0.0232 , 0.9543 , 0.0046 , 0.3587 , 0.0993 , 0.6413 , 0.5856 , 0.2071 , 0.0151 , 0.1129 , 0.3012 , 0.4503 , 0.1677 , 0.0491 , 0.0314 , 0.5751 , 0.0590 , 0.1118 ," 43,622.26 ", 0.3492 , 0.6508 , 0.2183 , 0.1835 ,,,,,,,
39001,Adams ,2003," 27,601 ", 0.0650 , 0.2030 , 0.5956 , 0.1370 , 0.9770 , 0.0011 , 0.0064 , 0.0002 , 0.0156 , 0.0230 , 0.9549 , 0.0051 , 0.3675 , 0.1020 , 0.6325 , 0.5806 , 0.2101 , 0.0157 , 0.1148 , 0.2951 , 0.4533 , 0.1668 , 0.0515 , 0.0331 , 0.5717 , 0.0660 , 0.0958 ," 43,390.01 ", 0.3365 , 0.6635 , 0.2260 , 0.1883 ,,,,,,,
39001,Adams ,2004," 27,691 ", 0.0656 , 0.2041 , 0.5929 , 0.1382 , 0.9773 , 0.0013 , 0.0059 , 0.0002 , 0.0158 , 0.0227 , 0.9554 , 0.0055 , 0.3763 , 0.1048 , 0.6237 , 0.5757 , 0.2131 , 0.0162 , 0.1166 , 0.2889 , 0.4562 , 0.1658 , 0.0539 , 0.0347 , 0.5682 , 0.0730 , 0.0799 ," 43,157.75 ", 0.3238 , 0.6762 , 0.2337 , 0.1930 ,,,,,,,
39001,Adams ,2005," 27,781 ", 0.0662 , 0.2053 , 0.5903 , 0.1393 , 0.9776 , 0.0014 , 0.0054 , 0.0001 , 0.0160 , 0.0224 , 0.9560 , 0.0059 , 0.3851 , 0.1075 , 0.6149 , 0.5708 , 0.2161 , 0.0168 , 0.1185 , 0.2827 , 0.4592 , 0.1649 , 0.0563 , 0.0364 , 0.5648 , 0.0800 , 0.0639 ," 42,925.49 ", 0.3111 , 0.6889 , 0.2413 , 0.1978 ,,,,,,,
39001,Adams ,2006," 27,871 ", 0.0667 , 0.2064 , 0.5876 , 0.1404 , 0.9779 , 0.0015 , 0.0049 , 0.0001 , 0.0162 , 0.0221 , 0.9565 , 0.0063 , 0.3939 , 0.1103 , 0.6061 , 0.5658 , 0.2191 , 0.0173 , 0.1204 , 0.2765 , 0.4621 , 0.1639 , 0.0587 , 0.0380 , 0.5613 , 0.0870 , 0.0479 ," 42,693.23 ", 0.2984 , 0.7016 , 0.2490 , 0.2025 ,,,,,,,
39001,Adams ,2007," 27,962 ", 0.0673 , 0.2076 , 0.5850 , 0.1416 , 0.9782 , 0.0016 , 0.0044 , 0.0001 , 0.0164 , 0.0218 , 0.9571 , 0.0068 , 0.4028 , 0.1130 , 0.5972 , 0.5609 , 0.2220 , 0.0179 , 0.1223 , 0.2704 , 0.4651 , 0.1629 , 0.0612 , 0.0397 , 0.5579 , 0.0940 , 0.0320 ," 42,460.98 ", 0.2858 , 0.7142 , 0.2567 , 0.2073 ,,,,,,,
39001,Adams ,2008," 28,052 ", 0.0679 , 0.2087 , 0.5823 , 0.1427 , 0.9784 , 0.0018 , 0.0040 , 0.0001 , 0.0166 , 0.0216 , 0.9576 , 0.0072 , 0.4116 , 0.1157 , 0.5884 , 0.5559 , 0.2250 , 0.0184 , 0.1241 , 0.2642 , 0.4680 , 0.1620 , 0.0636 , 0.0413 , 0.5544 , 0.1010 , 0.0160 ," 42,228.72 ", 0.2731 , 0.7269 , 0.2643 , 0.2120 ,,,,,,,
39001,Adams ,2009," 28,142 ", 0.0684 , 0.2099 , 0.5797 , 0.1439 , 0.9787 , 0.0019 , 0.0035 , 0.0000 , 0.0168 , 0.0213 , 0.9582 , 0.0076 , 0.4204 , 0.1185 , 0.5796 , 0.5510 , 0.2280 , 0.0190 , 0.1260 , 0.2580 , 0.4710 , 0.1610 , 0.0660 , 0.0430 , 0.5510 , 0.1080 , 0.0000 ," 41,996.46 ", 0.2604 , 0.7396 , 0.2720 , 0.2168 ,,,,,,,
